Dataset,Rows,SpearmanRho,BigValley
nasa93dem.csv,93,-0.19249564590303533,No
SS-G.csv,196,-0.18650226655249208,No
A2C_Acrobot.csv,223,-0.3946991283275099,No
A2C_CartPole.csv,317,-0.33078268753501233,No
pom3d.csv,500,-0.38905529095395863,No
SS-C.csv,1512,-0.5304972148647724,No
SS-A.csv,1343,-0.5168787112166812,No
coc1000.csv,1000,-0.23648986461894472,No
SS-M.csv,864,-0.4631668472797341,No
SS-S.csv,3840,-0.28819903790098017,No
home_data_for_ml_course.csv,1460,-0.06603181711452705,No
SS-Q.csv,2736,0.13865764681557166,No
SS-K.csv,2880,-0.3002761950908548,No
SS-D.csv,196,-0.1596346323388979,No
SS-T.csv,5184,-0.24374874500768992,No
SS-L.csv,1023,-0.5522019494517689,No
SS-P.csv,1023,-0.5553636206800051,No
SS-J.csv,3840,0.15170659048219087,No
SS-V.csv,6840,-0.40277495603291213,No
SS-E.csv,756,-0.11525178519504937,No
SS-H.csv,259,-0.45726215049422647,No
SS-O.csv,972,-0.20651920776930358,No
SS-R.csv,3008,-0.2721480949916358,No
SS-I.csv,1080,-0.06692081475748195,No
SS-F.csv,196,-0.2036540532046765,No
SS-B.csv,206,-0.8782280073648345,No
auto93.csv,398,-0.1668733654160869,No
Car_price_cleaned.csv,205,0.0031683696960782977,No
WA_Fn-UseC_-Telco-Customer-Churn.csv,7043,-0.7375194738419801,No
Wine_quality.csv,1599,-0.4038905110663512,No
SS-U.csv,4608,-0.4069349269007277,No
BankChurners.csv,10127,-0.3212718698870673,No
WA_Fn-UseC_-HR-Employee-Attrition.csv,1470,-0.22427990350125004,No
wallpaper.csv,247,-0.6003376300384728,No
xomo_osp.csv,10000,-0.4727848544582728,No
dress-up.csv,913,-0.39786290253617335,No
accessories.csv,1121,-0.32043210716865306,No
xomo_ground.csv,10000,-0.4415075328320554,No
Life_Expectancy_Data.csv,2938,-0.43125845468630886,No
xomo_flight.csv,10000,-0.4599611612346428,No
Marketing_Analytics.csv,2205,0.10951170601434,No
xomo_osp2.csv,10000,-0.44484171217623725,No
Health-ClosedIssues0004.csv,10000,-0.06723361885427787,No
Health-Commits0002.csv,10000,-0.6034267103345025,No
Health-ClosedPRs0009.csv,10000,-0.20702264308006668,No
Health-ClosedIssues0006.csv,10000,-0.2938186051333533,No
Health-ClosedPRs0010.csv,10000,-0.1006959295401762,No
Health-Commits0004.csv,10000,-0.2162985787190594,No
Health-ClosedIssues0009.csv,10000,-0.02029519881733688,No
pom3c.csv,20000,-0.17548187758766012,No
pom3b.csv,20000,-0.15193312438892376,No
Health-ClosedPRs0007.csv,10000,-0.6504548405602407,No
Health-ClosedIssues0001.csv,10000,0.3199815083362629,No
Health-Commits0009.csv,10000,-0.1300052600070471,No
Health-ClosedIssues0007.csv,10000,-0.27553497816029177,No
Health-ClosedPRs0011.csv,10000,-0.6942378998910064,No
pom3a.csv,20000,-0.17300489508095385,No
Health-ClosedPRs0000.csv,10000,-0.18367113580992014,No
Health-Commits0000.csv,10000,-0.3039334439484886,No
Health-Commits0001.csv,10000,-0.6786903762635884,No
Health-Commits0006.csv,10000,-0.24222590692920248,No
Health-ClosedIssues0008.csv,10000,0.00783046600404292,No
Health-Commits0003.csv,10000,-0.13232150322239397,No
Health-ClosedPRs0008.csv,10000,0.23449844764373695,No
Health-ClosedIssues0003.csv,10000,-0.22741016820899854,No
Health-ClosedIssues0010.csv,10000,0.028617558321415174,No
Health-ClosedPRs0006.csv,10000,-0.36063204087217604,No
Data_COVID19_Indonesia.csv,21759,-0.11686515197969492,No
Health-Commits0005.csv,10000,-0.23700901434815339,No
Health-ClosedIssues0011.csv,10000,-0.6985011408256969,No
Health-ClosedIssues0002.csv,10000,-0.672555784068069,No
Health-ClosedPRs0003.csv,10000,-0.674806540290808,No
Health-Commits0007.csv,10000,-0.23309736449110205,No
Health-ClosedPRs0004.csv,10000,-0.5679985735615405,No
Health-ClosedPRs0005.csv,10000,-0.6765884618207971,No
Health-Commits0011.csv,10000,-0.7054032831693633,No
Health-ClosedPRs0002.csv,10000,-0.6708927281005227,No
Health-Commits0010.csv,10000,0.02107550444606702,No
Health-Commits0008.csv,10000,-0.10515419626867008,No
Health-ClosedIssues0000.csv,10000,-0.32764115480747397,No
Health-ClosedIssues0005.csv,10000,-0.14793848372823723,No
Loan.csv,20000,-0.12727692727692727,No
Scrum1k.csv,1000,-0.7710882736259707,No
all_players.csv,17737,0.07813857886720772,No
SS-N.csv,53662,-0.11572002912144215,No
billing10k.csv,10000,-0.5688251755655374,No
SS-W.csv,65536,-0.369540646947955,No
FFM-125-25-0.50-SAT-1.csv,10000,-0.6517579247393395,No
SS-X.csv,86058,-0.2684079491079936,No
Scrum10k.csv,10000,-0.5726576775706566,No
FFM-250-50-0.50-SAT-1.csv,10000,-0.7325903305199528,No
FFM-500-100-0.50-SAT-1.csv,10000,-0.6081298317713224,No
FM-500-100-1.00-SAT-1.csv,10000,-0.6238301778911167,No
FM-500-100-0.50-SAT-1.csv,10000,-0.7504152508258167,No
FM-500-100-0.75-SAT-1.csv,10000,-0.8171360851351567,No
FM-500-100-0.25-SAT-1.csv,10000,-0.6790328105369798,No
FFM-1000-200-0.50-SAT-1.csv,10000,-0.5888474136889167,No
Scrum100k.csv,100000,-0.6688270372153096,No
