run_id,best_config,best_value,runtime
0,"{'Spouts': 3.0, 'Max_spout': 100.0, 'Sorters': 1.0, 'Emit_freq': 10.0, 'Chunk_size': 1000000.0, 'Message_size': 100000.0}",1.778970173571537e-05,18.09087347984314
1,"{'Spouts': 3.0, 'Max_spout': 100.0, 'Sorters': 1.0, 'Emit_freq': 300.0, 'Chunk_size': 100000.0, 'Message_size': 100000.0}",0.0,21.784587860107422
2,"{'Spouts': 3.0, 'Max_spout': 100.0, 'Sorters': 1.0, 'Emit_freq': 300.0, 'Chunk_size': 100000.0, 'Message_size': 100000.0}",0.0,19.897892951965332
3,"{'Spouts': 3.0, 'Max_spout': 100.0, 'Sorters': 1.0, 'Emit_freq': 10.0, 'Chunk_size': 1000000.0, 'Message_size': 100000.0}",1.778970173571537e-05,23.36583137512207
4,"{'Spouts': 3.0, 'Max_spout': 100.0, 'Sorters': 1.0, 'Emit_freq': 10.0, 'Chunk_size': 1000000.0, 'Message_size': 100000.0}",1.778970173571537e-05,18.493139505386353
5,"{'Spouts': 3.0, 'Max_spout': 100.0, 'Sorters': 1.0, 'Emit_freq': 10.0, 'Chunk_size': 1000000.0, 'Message_size': 100000.0}",1.778970173571537e-05,20.28906774520874
6,"{'Spouts': 3.0, 'Max_spout': 100.0, 'Sorters': 1.0, 'Emit_freq': 10.0, 'Chunk_size': 1000000.0, 'Message_size': 100000.0}",1.778970173571537e-05,28.255123376846313
7,"{'Spouts': 3.0, 'Max_spout': 100.0, 'Sorters': 1.0, 'Emit_freq': 10.0, 'Chunk_size': 1000000.0, 'Message_size': 100000.0}",1.778970173571537e-05,18.614707231521606
8,"{'Spouts': 3.0, 'Max_spout': 100.0, 'Sorters': 1.0, 'Emit_freq': 120.0, 'Chunk_size': 1000000.0, 'Message_size': 100000.0}",3.360899782589577e-05,14.583696365356445
9,"{'Spouts': 3.0, 'Max_spout': 100.0, 'Sorters': 1.0, 'Emit_freq': 10.0, 'Chunk_size': 1000000.0, 'Message_size': 100000.0}",1.778970173571537e-05,18.0654616355896
